reporter_name,_year,trade_flow,product_group,trade_indicator,total_dollars,total_perc
Australia,2015,Import,Mach and Elec,Micro Import (US$ Thousand),51998039.22,4.1349
Australia,2015,Import,Metals,Micro Import (US$ Thousand),12734349.21,5.3061
Australia,2015,Import,Minerals,Micro Import (US$ Thousand),943569.28,24.8755
Australia,2015,Import,Miscellaneous,Micro Import (US$ Thousand),21548226.24,5.6791
Australia,2015,Import,Plastic or Rubber,Micro Import (US$ Thousand),8275336.647,0.5367
Australia,2015,Import,Stone and Glass,Micro Import (US$ Thousand),7488477.395,6.5467
Australia,2015,Import,Textiles and Clothing,Micro Import (US$ Thousand),8880731.55,1.8331
Australia,2015,Import,Transportation,Micro Import (US$ Thousand),27228241.41,2.3055
Australia,2015,Import,Vegetable,Micro Import (US$ Thousand),2969524.057,6.5107
Australia,2015,Import,Wood,Micro Import (US$ Thousand),4987403.6,1.281
Australia,2015,Export,  All Products,Export (US$ Thousand),187792151.5,100
Australia,2015,Export, Capital goods,Macro Export (US$ Thousand),11127435.5,31.6003
Australia,2015,Export, Consumer goods,Macro Export (US$ Thousand),27765374.95,44.6195
Australia,2015,Export, Intermediate goods,Macro Export (US$ Thousand),33764983.78,15.2649
Australia,2015,Export, Raw materials,Macro Export (US$ Thousand),108038988.7,5.7902
Australia,2015,Export,Other,Macro Export (US$ Thousand),7095368.563,2.7251
Australia,2015,Export,Animal,Micro Export (US$ Thousand),14281096.01,1.0874
Australia,2015,Export,Chemicals,Micro Export (US$ Thousand),9610956.209,8.6813
